Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Exclude NA
Devil May Cry HD Collection,X360,2012,Action,0.28,0.11,0.01,0.03,0.44,77,32,8.4,93.0,M,0.15999999999999998
Ninja Gaiden 3,PS3,2012,Action,0.19,0.09,0.11,0.05,0.43,58,43,5.0,152.0,M,0.24
Resistance: Burning Skies,PSV,2012,Shooter,0.18,0.15,0.02,0.06,0.41,60,63,6.8,245.0,M,0.22999999999999998
Asuras Wrath,PS3,2012,Action,0.18,0.12,0.06,0.05,0.41,71,39,7.4,171.0,T,0.22999999999999998
Project X Zone,3DS,2012,Role-Playing,0.18,0.04,0.15,0.02,0.39,70,53,7.3,146.0,T,0.21000000000000002
Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,0.15,0.11,0.1,0.02,0.38,78,46,7.8,167.0,M,0.23
Tekken Tag Tournament 2,X360,2012,Fighting,0.19,0.11,0.01,0.03,0.34,83,35,7.4,91.0,T,0.15000000000000002
Dead or Alive 5,X360,2012,Fighting,0.19,0.08,0.03,0.03,0.33,76,39,7.9,95.0,M,0.14
Binary Domain,PS3,2012,Action,0.09,0.07,0.14,0.03,0.33,72,33,8.2,180.0,M,0.24000000000000002
Silent Hill HD Collection,PS3,2012,Action,0.15,0.1,0.03,0.04,0.32,70,33,4.8,136.0,M,0.17
Starhawk,PS3,2012,Action,0.18,0.05,0.03,0.03,0.29,77,71,7.8,188.0,T,0.10999999999999999
Ninja Gaiden 3,X360,2012,Action,0.16,0.05,0.03,0.02,0.25,58,39,4.4,136.0,M,0.09
Asuras Wrath,X360,2012,Action,0.15,0.06,0.01,0.02,0.25,71,54,6.6,131.0,T,0.1
Ys: Memories of Celceta,PSV,2012,Action,0.1,0.01,0.1,0.04,0.24,82,56,8.8,240.0,T,0.13999999999999999
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,0.13,0.02,0.06,0.01,0.23,54,35,6.1,28.0,T,0.1
Armored Core V,X360,2012,Simulation,0.13,0.03,0.04,0.01,0.21,68,37,7.2,37.0,T,0.07999999999999999
Anarchy Reigns,PS3,2012,Action,0.1,0.03,0.06,0.02,0.2,71,35,8.2,106.0,M,0.1
Tekken 3D: Prime Edition,3DS,2012,Fighting,0.06,0.07,0.05,0.01,0.2,64,42,5.9,39.0,T,0.14
Binary Domain,X360,2012,Action,0.09,0.06,0.02,0.02,0.19,74,43,8.1,186.0,M,0.1
Anarchy Reigns,X360,2012,Action,0.12,0.02,0.02,0.01,0.17,73,38,7.9,105.0,M,0.05000000000000002
Time and Eternity,PS3,2012,Role-Playing,0.06,0.03,0.06,0.02,0.17,42,40,5.0,78.0,T,0.11000000000000001
Steel Battalion: Heavy Armor,X360,2012,Misc,0.08,0.02,0.02,0.01,0.13,38,58,2.4,92.0,M,0.05
NeverDead,PS3,2012,Shooter,0.06,0.04,0.01,0.02,0.12,50,32,4.7,47.0,M,0.06
Call of Duty: Modern Warfare 3,X360,2011,Shooter,9.06,4.26,0.13,1.33,14.77,88,81,3.4,8715.0,M,5.709999999999999
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5237.0,M,7.78
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,5.08,2.8,0.1,0.86,8.84,96,89,8.4,3602.0,M,3.76
Battlefield 3,X360,2011,Shooter,4.47,2.11,0.06,0.69,7.33,84,57,7.4,2144.0,M,2.8600000000000003
Battlefield 3,PS3,2011,Shooter,2.86,2.89,0.35,1.08,7.18,85,38,7.5,1762.0,M,4.32
Uncharted 3: Drakes Deception,PS3,2011,Action,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3732.0,T,3.97
Gears of War 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1510.0,M,2.16
Batman: Arkham City,PS3,2011,Action,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2174.0,T,2.7700000000000005
Batman: Arkham City,X360,2011,Action,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1477.0,T,1.7400000000000002
Assassins Creed: Revelations,PS3,2011,Action,1.41,2.01,0.1,0.7,4.22,80,39,7.5,620.0,M,2.8099999999999996
Assassins Creed: Revelations,X360,2011,Action,2.25,1.47,0.04,0.43,4.2,80,77,7.2,570.0,M,1.9500000000000002
L.A. Noire,PS3,2011,Adventure,1.28,1.29,0.12,0.5,3.18,89,78,7.7,1017.0,M,1.9000000000000001
Killzone 3,PS3,2011,Shooter,1.46,0.86,0.09,0.38,2.78,84,85,7.9,945.0,M,1.3199999999999998
Saints Row: The Third,X360,2011,Action,1.25,1.14,0.07,0.3,2.77,84,70,7.6,492.0,M,1.52
L.A. Noire,X360,2011,Adventure,1.53,0.92,0.02,0.24,2.7,89,83,7.8,895.0,M,1.1700000000000002
Final Fantasy XIII-2,PS3,2011,Role-Playing,0.78,0.73,0.89,0.23,2.63,79,53,6.6,713.0,T,1.8499999999999999
Saints Row: The Third,PS3,2011,Action,0.86,1.04,0.18,0.38,2.47,82,50,7.7,386.0,M,1.6100000000000003
Halo: Combat Evolved Anniversary,X360,2011,Shooter,1.44,0.7,0.04,0.22,2.4,82,73,8.1,488.0,M,0.96
Dead Island,PS3,2011,Action,1.08,0.73,0.15,0.31,2.27,71,41,6.6,409.0,M,1.19
Dance Central 2,X360,2011,Misc,1.45,0.41,0.01,0.16,2.04,86,56,8.2,63.0,T,0.5900000000000001
Dark Souls,PS3,2011,Role-Playing,0.75,0.51,0.54,0.22,2.02,89,54,8.7,1410.0,M,1.27
Need for Speed: The Run,PS3,2011,Action,0.58,1.04,0.03,0.36,2.01,64,48,6.4,183.0,T,1.4299999999999997
inFAMOUS 2,PS3,2011,Action,1.05,0.47,0.08,0.22,1.82,83,90,8.4,935.0,T,0.77
Rage,X360,2011,Shooter,0.82,0.6,0.03,0.15,1.6,81,77,6.7,559.0,M,0.7800000000000001
Uncharted: Golden Abyss,PSV,2011,Shooter,0.53,0.66,0.13,0.22,1.54,80,80,7.4,771.0,T,1.01
Resistance 3,PS3,2011,Shooter,0.64,0.57,0.05,0.22,1.48,83,91,7.8,544.0,M,0.84
Homefront,X360,2011,Shooter,0.83,0.48,0.02,0.12,1.46,70,85,6.0,399.0,M,0.63
Mass Effect 2,PS3,2011,Role-Playing,0.78,0.45,0.03,0.19,1.45,94,62,8.5,1087.0,M,0.6699999999999999
Deus Ex: Human Revolution,X360,2011,Shooter,0.77,0.47,0.02,0.13,1.38,89,70,8.3,688.0,M,0.6099999999999999
Deus Ex: Human Revolution,PS3,2011,Shooter,0.5,0.59,0.07,0.22,1.37,89,50,8.2,686.0,M,0.8700000000000001
Crysis 2,X360,2011,Action,0.71,0.49,0.02,0.12,1.34,84,72,7.5,534.0,M,0.6300000000000001
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,0.81,0.28,0.11,0.14,1.34,84,56,7.3,149.0,T,0.53
Rage,PS3,2011,Shooter,0.47,0.58,0.06,0.2,1.31,81,37,6.2,354.0,M,0.8400000000000001
Crysis 2,PS3,2011,Action,0.46,0.56,0.06,0.21,1.3,85,54,7.2,407.0,M,0.8400000000000001
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,0.55,0.44,0.14,0.09,1.21,85,69,8.1,207.0,T,0.6599999999999999
Dragon Age II,X360,2011,Action,0.72,0.29,0.01,0.09,1.11,79,75,4.5,2382.0,M,0.3900000000000001
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,0.79,0.18,0.03,0.07,1.07,85,77,7.1,167.0,T,0.28
DiRT 3,PS3,2011,Racing,0.27,0.57,0.01,0.2,1.06,87,52,7.1,122.0,T,0.79
Brink,X360,2011,Shooter,0.59,0.35,0.01,0.09,1.03,68,85,5.8,404.0,T,0.44000000000000006
Bulletstorm,X360,2011,Shooter,0.61,0.32,0.01,0.08,1.02,84,83,7.6,440.0,M,0.41000000000000003
Driver: San Francisco,PS3,2011,Racing,0.24,0.52,0.01,0.18,0.95,79,53,7.7,114.0,T,0.71
Homefront,PS3,2011,Shooter,0.32,0.39,0.04,0.15,0.9,70,60,5.7,174.0,M,0.5800000000000001
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,0.66,0.11,0.04,0.08,0.89,67,64,6.3,121.0,M,0.22999999999999998
Tales of the Abyss,3DS,2011,Role-Playing,0.44,0.19,0.14,0.06,0.84,75,33,7.6,198.0,T,0.39999999999999997
Dragon Age II,PS3,2011,Action,0.4,0.26,0.05,0.11,0.83,82,52,4.3,1199.0,M,0.42999999999999994
The Lord of the Rings: War in the North,PS3,2011,Action,0.25,0.42,0.01,0.13,0.82,63,33,7.0,100.0,M,0.57
Final Fantasy XIII-2,X360,2011,Role-Playing,0.36,0.29,0.02,0.06,0.73,79,50,6.3,268.0,T,0.37
Brink,PS3,2011,Shooter,0.29,0.32,0.01,0.12,0.73,72,39,5.8,168.0,T,0.44
DiRT 3,X360,2011,Racing,0.23,0.4,0.01,0.08,0.72,87,81,7.1,166.0,T,0.49
Catherine,PS3,2011,Adventure,0.3,0.14,0.2,0.06,0.7,79,61,8.1,377.0,M,0.39999999999999997
The Last Story,Wii,2011,Role-Playing,0.3,0.13,0.18,0.04,0.65,80,61,8.4,179.0,T,0.35000000000000003
Test Drive Unlimited 2,PS3,2011,Racing,0.16,0.34,0.01,0.12,0.62,70,43,6.1,44.0,T,0.45999999999999996
Alice: Madness Returns,PS3,2011,Adventure,0.22,0.24,0.04,0.08,0.58,70,51,7.9,181.0,M,0.36
Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,0.27,0.11,0.14,0.05,0.57,80,39,7.8,127.0,T,0.29999999999999993
God of War: Origins Collection,PS3,2011,Action,0.39,0.08,0.02,0.06,0.55,84,58,8.4,208.0,M,0.16000000000000003
Two Worlds II,X360,2011,Role-Playing,0.4,0.07,0.03,0.03,0.54,67,50,6.6,140.0,M,0.14
Bulletstorm,PS3,2011,Shooter,0.24,0.2,0.01,0.09,0.53,83,57,7.7,288.0,M,0.29000000000000004
Alice: Madness Returns,X360,2011,Adventure,0.27,0.14,0.04,0.04,0.5,70,67,8.1,157.0,M,0.22999999999999998
Bleach: Soul Resurreccion,PS3,2011,Fighting,0.27,0.1,0.07,0.05,0.49,58,34,7.1,47.0,T,0.21999999999999997
Ace Combat: Assault Horizon,X360,2011,Action,0.3,0.12,0.03,0.04,0.49,78,71,6.2,82.0,T,0.19
Resident Evil: The Mercenaries 3D,3DS,2011,Action,0.16,0.16,0.13,0.03,0.49,65,69,6.4,110.0,M,0.32999999999999996
Rise of Nightmares,X360,2011,Action,0.28,0.13,0.01,0.04,0.47,54,56,7.8,44.0,M,0.18999999999999995
Red Faction: Armageddon,PS3,2011,Shooter,0.2,0.15,0.03,0.07,0.45,71,52,7.3,58.0,M,0.25
F.E.A.R. 3,PS3,2011,Shooter,0.21,0.16,0.01,0.07,0.45,74,48,7.1,103.0,M,0.24000000000000002
Dead or Alive: Dimensions,3DS,2011,Fighting,0.13,0.21,0.07,0.03,0.45,79,62,8.2,114.0,T,0.32
F.E.A.R. 3,X360,2011,Shooter,0.3,0.11,0.01,0.04,0.45,75,71,7.0,139.0,M,0.15000000000000002
Red Faction: Armageddon,X360,2011,Shooter,0.18,0.16,0.01,0.04,0.39,71,74,7.0,77.0,M,0.21000000000000002
Dungeon Siege III,PS3,2011,Role-Playing,0.17,0.13,0.03,0.05,0.39,71,52,6.3,86.0,T,0.22
Dungeon Siege III,X360,2011,Role-Playing,0.21,0.12,0.01,0.03,0.37,72,55,5.9,102.0,T,0.16
The King of Fighters XIII,X360,2011,Fighting,0.23,0.06,0.01,0.03,0.33,79,31,8.2,51.0,T,0.1
Dead Rising 2: Off the Record,PS3,2011,Action,0.11,0.08,0.1,0.03,0.32,72,31,7.1,35.0,M,0.21000000000000002
Operation Flashpoint: Red River,PS3,2011,Shooter,0.06,0.14,0.07,0.05,0.32,67,36,6.3,18.0,M,0.26
Catherine,X360,2011,Adventure,0.2,0.06,0.03,0.02,0.31,82,39,7.9,153.0,M,0.10999999999999999
Pandoras Tower,Wii,2011,Role-Playing,0.11,0.1,0.08,0.02,0.31,73,48,8.0,99.0,T,0.2
Tom Clancys Splinter Cell 3D,3DS,2011,Action,0.14,0.07,0.07,0.02,0.3,53,32,5.5,26.0,T,0.15999999999999998
Operation Flashpoint: Red River,X360,2011,Shooter,0.1,0.14,0.01,0.03,0.28,69,64,6.1,29.0,M,0.18000000000000002
El Shaddai: Ascension of the Metatron,PS3,2011,Action,0.11,0.06,0.08,0.03,0.28,78,46,7.5,40.0,T,0.17000000000000004
Shadows of the Damned,PS3,2011,Action,0.11,0.09,0.04,0.03,0.27,77,56,8.1,126.0,M,0.16000000000000003
Hunted: The Demons Forge,PS3,2011,Action,0.12,0.08,0.02,0.03,0.25,57,34,6.2,70.0,M,0.13
Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,0.1,0.06,0.08,0.01,0.24,71,37,7.8,26.0,T,0.13999999999999999
Dynasty Warriors Next,PSV,2011,Action,0.05,0.06,0.11,0.02,0.24,67,35,7.5,73.0,T,0.19
Earth Defense Force: Insect Armageddon,X360,2011,Shooter,0.1,0.04,0.03,0.01,0.19,68,40,8.2,45.0,T,0.09
Shadows of the Damned,X360,2011,Action,0.1,0.06,0.01,0.02,0.19,76,76,8.4,139.0,M,0.09
El Shaddai: Ascension of the Metatron,X360,2011,Action,0.07,0.05,0.03,0.01,0.16,75,44,7.0,47.0,T,0.09
Call of Duty: Black Ops,X360,2010,Shooter,9.73,3.7,0.11,1.13,14.67,87,89,6.3,1456.0,M,4.9399999999999995
Call of Duty: Black Ops,PS3,2010,Shooter,6.0,4.37,0.48,1.8,12.64,88,58,6.4,1095.0,M,6.640000000000001
Halo: Reach,X360,2010,Shooter,7.06,1.97,0.08,0.79,9.9,91,99,7.9,2053.0,M,2.8400000000000007
Red Dead Redemption,PS3,2010,Action,2.8,2.53,0.17,1.0,6.51,95,73,8.9,2475.0,M,3.71
Red Dead Redemption,X360,2010,Action,3.71,1.97,0.09,0.58,6.35,95,96,9.0,2327.0,M,2.6399999999999997
Fable III,X360,2010,Role-Playing,3.59,1.08,0.05,0.38,5.1,80,88,6.5,608.0,M,1.5099999999999998
God of War III,PS3,2010,Action,2.74,1.34,0.12,0.61,4.8,92,101,8.7,2647.0,M,2.0599999999999996
Fallout: New Vegas,X360,2010,Role-Playing,2.66,1.03,0.04,0.33,4.06,84,81,8.1,775.0,M,1.3999999999999995
Assassins Creed: Brotherhood,X360,2010,Action,2.85,0.38,0.03,0.24,3.5,89,81,8.3,700.0,M,0.6499999999999999
Battlefield: Bad Company 2,X360,2010,Shooter,2.1,1.01,0.04,0.32,3.48,88,75,8.6,870.0,M,1.38
Dance Central,X360,2010,Misc,2.15,0.76,0.01,0.26,3.17,82,63,7.6,85.0,T,1.02
Fallout: New Vegas,PS3,2010,Role-Playing,1.53,1.03,0.1,0.46,3.12,82,57,7.8,496.0,M,1.59
Mass Effect 2,X360,2010,Role-Playing,1.99,0.81,0.03,0.27,3.1,96,98,8.9,3153.0,M,1.11
Heavy Rain,PS3,2010,Adventure,1.29,1.21,0.06,0.47,3.03,87,107,7.7,2775.0,M,1.7399999999999998
Battlefield: Bad Company 2,PS3,2010,Shooter,1.33,1.1,0.08,0.44,2.95,88,59,8.5,573.0,M,1.62
Assassins Creed: Brotherhood,PS3,2010,Action,1.87,0.55,0.11,0.29,2.82,90,59,8.2,800.0,M,0.9499999999999997
Medal of Honor,PS3,2010,Shooter,1.28,1.04,0.07,0.42,2.81,75,56,7.5,285.0,M,1.53
Medal of Honor,X360,2010,Shooter,1.56,0.8,0.04,0.21,2.62,74,71,6.7,288.0,M,1.06
BioShock 2,X360,2010,Shooter,1.45,0.54,0.02,0.19,2.2,88,93,8.2,575.0,M,0.7500000000000002
Final Fantasy XIII,X360,2010,Role-Playing,1.28,0.67,0.01,0.21,2.17,82,54,6.3,543.0,T,0.8899999999999999
Metal Gear Solid: Peace Walker,PSP,2010,Action,0.46,0.41,0.96,0.24,2.06,89,66,8.9,445.0,T,1.6
Tom Clancys Splinter Cell: Conviction,X360,2010,Action,1.2,0.62,0.04,0.19,2.06,85,90,7.7,589.0,M,0.8600000000000001
The Sims 3,PS3,2010,Simulation,0.73,0.89,0.02,0.3,1.94,78,39,6.4,55.0,T,1.21
Just Cause 2,PS3,2010,Action,0.45,0.92,0.06,0.32,1.75,83,66,8.0,293.0,M,1.3
Just Cause 2,X360,2010,Action,0.59,0.83,0.02,0.17,1.6,81,74,8.0,269.0,M,1.0100000000000002
BioShock 2,PS3,2010,Shooter,0.85,0.46,0.02,0.22,1.54,88,62,8.2,493.0,M,0.6900000000000001
Dead Rising 2,X360,2010,Action,0.75,0.52,0.09,0.12,1.49,79,76,6.9,217.0,M,0.74
Mafia II,PS3,2010,Action,0.5,0.69,0.04,0.26,1.49,75,61,7.7,299.0,M,0.99
UFC Undisputed 2010,PS3,2010,Fighting,0.8,0.4,0.02,0.18,1.41,85,54,7.2,48.0,T,0.6099999999999999
Dead Rising 2,PS3,2010,Action,0.43,0.57,0.15,0.21,1.37,80,54,6.7,178.0,M,0.9400000000000002
Metroid: Other M,Wii,2010,Action,0.85,0.28,0.13,0.1,1.35,79,71,6.5,483.0,T,0.5000000000000001
Alan Wake,X360,2010,Action,0.66,0.5,0.05,0.13,1.33,83,100,8.1,1162.0,T,0.67
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,0.42,0.46,0.15,0.18,1.21,76,34,8.3,131.0,T,0.79
Crackdown 2,X360,2010,Shooter,0.63,0.36,0.02,0.1,1.12,70,91,6.0,202.0,M,0.4900000000000001
Castlevania: Lords of Shadow,PS3,2010,Action,0.5,0.35,0.1,0.15,1.1,85,62,7.9,472.0,M,0.6000000000000001
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,0.44,0.46,0.01,0.18,1.09,74,42,6.9,42.0,T,0.6500000000000001
Dantes Inferno,PS3,2010,Action,0.64,0.28,0.04,0.13,1.08,75,69,7.5,267.0,M,0.44000000000000006
Darksiders,X360,2010,Action,0.67,0.28,0.01,0.1,1.06,83,81,7.9,293.0,M,0.39
God of War: Ghost of Sparta,PSP,2010,Action,0.41,0.35,0.03,0.21,1.0,86,73,8.4,256.0,M,0.5900000000000001
Tales of Graces f,PS3,2010,Role-Playing,0.28,0.18,0.45,0.07,0.98,77,55,8.2,336.0,T,0.7
Lost Planet 2,PS3,2010,Shooter,0.29,0.33,0.2,0.13,0.95,68,56,6.9,62.0,T,0.6599999999999999
Dantes Inferno,X360,2010,Action,0.63,0.2,0.02,0.07,0.92,73,71,7.7,225.0,M,0.29000000000000004
Xenoblade Chronicles,Wii,2010,Role-Playing,0.43,0.25,0.16,0.07,0.91,92,59,8.9,957.0,T,0.48000000000000004
Army of Two: The 40th Day,PS3,2010,Shooter,0.44,0.27,0.01,0.12,0.85,74,56,7.0,88.0,M,0.41
Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,0.43,0.27,0.01,0.07,0.78,74,31,8.5,39.0,T,0.35000000000000003
Lost Planet 2,X360,2010,Shooter,0.38,0.23,0.08,0.06,0.76,68,63,6.1,102.0,T,0.38
Resonance of Fate,PS3,2010,Role-Playing,0.2,0.21,0.24,0.08,0.73,72,42,8.0,136.0,T,0.53
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,0.28,0.15,0.22,0.07,0.72,74,45,6.7,155.0,T,0.43999999999999995
James Bond 007: Blood Stone,PS3,2010,Shooter,0.18,0.36,0.02,0.13,0.7,65,49,7.4,46.0,T,0.52
Prince of Persia: The Forgotten Sands,PS3,2010,Action,0.19,0.36,0.01,0.12,0.69,75,49,7.5,122.0,T,0.49999999999999994
Castlevania: Lords of Shadow,X360,2010,Action,0.42,0.17,0.01,0.05,0.66,83,70,7.8,239.0,M,0.24000000000000005
Dragon Ball: Raging Blast 2,X360,2010,Fighting,0.49,0.09,0.01,0.05,0.64,57,33,7.4,31.0,T,0.15000000000000002
White Knight Chronicles II,PS3,2010,Role-Playing,0.23,0.09,0.27,0.04,0.63,60,45,7.2,65.0,T,0.4
Red Steel 2,Wii,2010,Shooter,0.35,0.21,0.01,0.06,0.62,80,73,8.5,179.0,T,0.27
NieR,PS3,2010,Role-Playing,0.17,0.18,0.2,0.07,0.62,68,58,8.4,268.0,M,0.44999999999999996
Vanquish,PS3,2010,Shooter,0.21,0.21,0.11,0.08,0.61,84,61,8.1,305.0,M,0.4
Enslaved: Odyssey to the West,PS3,2010,Action,0.24,0.22,0.01,0.09,0.55,80,53,7.5,313.0,T,0.31000000000000005
Metro 2033,X360,2010,Shooter,0.22,0.23,0.03,0.05,0.54,77,83,7.8,354.0,M,0.32000000000000006
Time Crisis: Razing Storm,PS3,2010,Shooter,0.18,0.2,0.07,0.08,0.54,58,49,5.9,15.0,T,0.36000000000000004
Valkyria Chronicles II,PSP,2010,Role-Playing,0.12,0.15,0.18,0.09,0.53,83,54,8.1,67.0,T,0.41000000000000003
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,0.3,0.15,0.03,0.05,0.53,85,62,8.8,85.0,T,0.23000000000000004
R.U.S.E.,PS3,2010,Strategy,0.18,0.22,0.02,0.08,0.5,76,37,7.3,50.0,T,0.32
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010,Shooter,0.17,0.13,0.06,0.08,0.44,74,51,8.0,20.0,T,0.27
Hyperdimension Neptunia,PS3,2010,Role-Playing,0.22,0.09,0.07,0.04,0.43,45,31,7.0,148.0,T,0.21
Vanquish,X360,2010,Shooter,0.19,0.16,0.03,0.04,0.42,84,70,8.4,183.0,M,0.22999999999999998
No More Heroes 2: Desperate Struggle,Wii,2010,Action,0.2,0.11,0.04,0.03,0.39,84,68,8.8,184.0,M,0.19
Ghost Trick: Phantom Detective,DS,2010,Adventure,0.17,0.07,0.12,0.02,0.38,83,60,9.0,127.0,T,0.21
EA Sports MMA,PS3,2010,Fighting,0.16,0.14,0.01,0.06,0.37,77,47,6.9,38.0,T,0.21
Tom Clancys HAWX 2,X360,2010,Action,0.24,0.09,0.01,0.03,0.36,68,57,6.3,29.0,T,0.12
The Shoot,PS3,2010,Shooter,0.13,0.15,0.01,0.05,0.34,60,39,6.2,11.0,T,0.21000000000000002
Resonance of Fate,X360,2010,Role-Playing,0.12,0.13,0.06,0.03,0.33,74,43,7.8,97.0,T,0.21000000000000002
BlazBlue: Continuum Shift,X360,2010,Fighting,0.23,0.04,0.02,0.02,0.31,85,32,8.7,26.0,T,0.07999999999999999
Front Mission Evolved,PS3,2010,Shooter,0.09,0.06,0.11,0.03,0.29,58,42,6.0,31.0,T,0.19999999999999998
NieR,X360,2010,Role-Playing,0.13,0.1,0.04,0.02,0.29,67,60,8.3,128.0,M,0.15999999999999998
Majin and the Forsaken Kingdom,PS3,2010,Adventure,0.09,0.13,0.01,0.05,0.29,72,49,7.9,35.0,T,0.19999999999999998
Dead to Rights: Retribution,PS3,2010,Shooter,0.1,0.12,0.02,0.05,0.28,60,44,5.9,27.0,M,0.18000000000000002
Singularity,PS3,2010,Shooter,0.17,0.04,0.01,0.03,0.24,77,48,7.7,100.0,M,0.06999999999999998
Front Mission Evolved,X360,2010,Shooter,0.1,0.07,0.02,0.02,0.2,58,52,6.1,24.0,T,0.1
